dom_len,is_ip,tld_len,subdom_cnt,digit_cnt,qm_cnt,amp_cnt,dot_cnt,dash_cnt,under_cnt,letter_ratio,digit_ratio,spec_ratio,is_https,slash_cnt,path_len,query_len,label
10,0,6,1,0,0,0,3,0,0,0.681818182,0.0,0.318181818,0,3,1,0,0
6,0,2,1,0,0,0,2,0,0,0.684210526,0.0,0.315789474,0,3,1,0,0
10,0,5,1,0,0,0,3,0,0,0.730769231,0.0,0.269230769,0,3,1,0,0
10,0,6,1,0,0,0,3,0,0,0.727272727,0.0,0.272727273,1,2,0,0,0
5,0,2,0,2,0,0,1,0,0,0.65,0.1,0.25,1,3,7,0,1
9,0,3,1,0,0,0,2,3,0,0.780487805,0.0,0.219512195,1,3,1,0,1
22,0,7,1,0,0,0,2,2,0,0.826086957,0.0,0.173913043,1,3,12,0,1
6,0,2,0,0,0,0,1,0,0,0.692307692,0.0,0.307692308,0,2,0,0,0
10,0,3,1,0,0,0,2,0,0,0.842105263,0.0,0.157894737,1,3,1,0,1
16,0,3,0,0,0,0,1,0,0,0.8,0.0,0.2,1,3,1,0,0
6,0,3,2,0,0,0,3,0,0,0.75862069,0.0,0.24137931,1,3,1,0,0
10,0,6,0,0,0,0,2,0,0,0.722222222,0.0,0.277777778,1,2,0,0,0
15,0,3,1,0,0,0,2,0,0,0.846153846,0.0,0.153846154,1,3,1,0,1
10,0,3,0,4,0,0,1,0,0,0.694444444,0.111111111,0.194444444,1,5,18,0,1
8,0,3,1,0,0,0,2,0,0,0.7,0.0,0.3,0,3,1,0,0
23,0,6,1,0,0,0,3,0,0,0.8,0.0,0.2,0,3,1,0,0
8,0,2,1,0,0,0,3,0,0,0.8,0.0,0.2,0,3,16,0,0
13,0,6,0,0,0,0,2,0,0,0.761904762,0.0,0.238095238,1,2,0,0,0
6,0,2,2,0,0,0,3,0,0,0.692307692,0.0,0.307692308,0,4,4,0,0
10,0,3,1,0,0,0,2,0,0,0.727272727,0.0,0.272727273,0,3,1,0,0
18,0,3,0,0,0,0,1,0,0,0.846153846,0.0,0.153846154,1,2,0,0,0
10,0,6,1,0,1,0,4,0,2,0.779411765,0.0,0.220588235,0,7,34,12,0
11,0,3,0,0,0,0,2,0,0,0.785714286,0.0,0.214285714,0,3,10,0,0
6,0,3,1,2,1,0,3,0,0,0.754716981,0.037735849,0.20754717,1,5,29,5,0
12,0,6,2,0,0,0,4,0,0,0.703703704,0.0,0.296296296,0,3,1,0,0
18,0,3,0,0,0,0,1,0,0,0.84,0.0,0.16,0,2,0,0,0
13,0,5,0,0,0,0,1,0,0,0.848484848,0.0,0.151515152,1,3,12,0,1
9,0,5,1,0,0,0,3,0,0,0.68,0.0,0.32,1,4,4,0,0
8,0,3,1,0,0,0,2,0,0,0.727272727,0.0,0.272727273,0,3,1,0,0
10,0,3,1,6,0,0,2,0,2,0.797619048,0.071428571,0.130952381,1,6,61,0,1
14,0,3,1,0,0,0,2,0,0,0.769230769,0.0,0.230769231,0,3,1,0,0
9,0,2,1,0,0,0,3,0,0,0.75,0.0,0.25,1,4,11,0,0
23,0,3,1,0,0,0,2,0,0,0.833333333,0.0,0.166666667,1,3,1,0,0
17,0,2,1,0,0,0,2,1,0,0.75862069,0.0,0.24137931,0,3,1,0,0
8,0,2,1,0,0,0,2,0,0,0.727272727,0.0,0.272727273,0,3,3,0,0
18,0,3,1,3,0,0,2,2,0,0.756097561,0.073170732,0.170731707,0,2,0,0,1
10,0,6,1,0,0,0,3,0,0,0.681818182,0.0,0.318181818,0,3,1,0,0
